id,parking,bathrooms,bedrooms,seller,location,status,area,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price,price_per_m2,area_per_br,prk,bdrm,logPrice
/apartamentos-venta-piantini/1276485/,3,3.5,3,SDQ Propiedades,Piantini,Used,280,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,725000,2589.285714285714,93.33333333333331,3,3,13.493926933836812
/apartamentos-venta-piantini/1276486/,5,3.5,3,SDQ Propiedades,Piantini,Used,392,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,775000,1977.0408163265304,130.66666666666666,4 or more,3,13.560618308335483
/apartamentos-venta-piantini/1280759/,2,3.5,3,Elite Brokers,Piantini,NA,360,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,496000,1377.7777777777778,120,2,3,13.114331205707064
/apartamentos-venta-piantini/1280518/,3,3.5,3,Anyelina Sánchez,Piantini,NA,223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,355000,1591.9282511210763,74.33333333333333,3,3,12.779873068457553
/apartamentos-venta-piantini/1280484/,2,NA,2,Anyelina Sánchez,Piantini,NA,154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,310000,2012.987012987013,77,2,2,12.644327576461329
/apartamentos-venta-piantini/1279842/,2,3.5,3,Remax Blu,Piantini,Used,231,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,265000,1147.186147186147,77,2,3,12.487485104968359
/apartamentos-venta-piantini/1249102/,NA,3.5,3,Anyelina Sánchez,Piantini,Used,262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,510000,1946.5648854961833,87.33333333333333,NA,3,13.142166004700508
/apartamentos-venta-piantini/1249094/,3,3.5,3,Anyelina Sánchez,Piantini,Used,312,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650000,2083.3333333333335,104,3,3,13.38472764187182
/apartamentos-venta-piantini/1278882/,2,3.5,3,Seekers Inmobiliaria,Piantini,New,175,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,390000,2228.5714285714284,58.333333333333336,2,3,12.873902018105829
/apartamentos-venta-piantini/1279209/,2,3.5,3,Elite Brokers,Piantini,NA,235,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,338000,1438.2978723404256,78.33333333333333,2,3,12.730801174465157
/apartamentos-venta-piantini/1270995/,3,2.5,2,Remax Metropolitana,Piantini,Rebuilt,122,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,250000,2049.1803278688526,61,3,2,12.429216196844383
/apartamentos-venta-piantini/1278447/,2,2.5,2,Elite Brokers,Piantini,NA,170,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,325000,1911.764705882353,85,2,2,12.691580461311874
/apartamentos-venta-y-alquiler-piantini/1278314/,4,3.5,3,Elite Brokers,Piantini,NA,415,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,635000,1530.120481927711,138.33333333333334,4 or more,3,13.36138027787483
/apartamentos-venta-piantini/1257463/,3,3.5,3,Inmobiliaria Hazim Rodriguez,Piantini,Building,200,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,460000,2300,66.66666666666667,3,3,13.038981768465277
/apartamentos-venta-piantini/1272158/,5,3.5,3,Anyelina Sánchez,Piantini,Used,375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,795000,2120,125,4 or more,3,13.58609739363647
/apartamentos-venta-piantini/1274945/,NA,2.5,2,Anyelina Sánchez,Piantini,New,105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,295000,2809.5238095238096,52.5,NA,2,12.594730635321957
/apartamentos-venta-piantini/1274936/,1,2,1,Anyelina Sánchez,Piantini,Used,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,250000,2777.777777777778,90,1,1,12.429216196844383
/apartamentos-venta-piantini/1239533/,3,3.5,3,Quality Inmobiliaria,Piantini,Used,360,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,335000,930.5555555555557,120,3,3,12.721885810807203
/apartamentos-venta-piantini/1243816/,1,1.5,1,Roshanna Carrasco,Piantini,New,85,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,242600,2854.1176470588234,85,1,1,12.399169275492087
/apartamentos-venta-piantini/1273189/,2,3.5,2,Plusval Puente Azul,Piantini,New,141,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,315000,2234.0425531914893,70.5,2,2,12.66032791780777
/apartamentos-venta-piantini/1258049/,NA,3.5,3,Estrella Inmobiliaria,Piantini,Used,375,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,775000,2066.6666666666665,125,NA,3,13.560618308335483
/apartamentos-venta-y-alquiler-piantini/1269713/,2,3.5,3,Elite Brokers,Piantini,NA,345,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,360000,1043.4782608695652,115,2,3,12.793859310432293
/apartamentos-venta-piantini/1269174/,2,3.5,3,Inmobiliaria Vita Home,Piantini,Used,200,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,235000,1175,66.66666666666667,2,3,12.367340793126296
/apartamentos-venta-piantini/1262852/,3,3.5,3,Inmobiliaria Vita Home,Piantini,Used,400,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,920000,2300,133.33333333333334,3,3,13.732128949025222
/apartamentos-venta-piantini/1234924/,3,3.5,3,Grupo Inmobiliario Elite,Piantini,New,210,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,377750,1798.809523809524,70,3,3,12.841987880134987
/apartamentos-venta-piantini/1257772/,2,2.5,2,Grupo Nin Inmobiliario,Piantini,Building,135,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,300000,2222.222222222222,67.5,2,2,12.611537753638338
/apartamentos-venta-piantini/1257769/,1,1.5,1,Grupo Nin Inmobiliario,Piantini,New,82,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,230000,2804.878048780488,82,1,1,12.345834587905333
/apartamentos-venta-piantini/1223072/,3,3.5,3,Elite Brokers,Piantini,NA,204,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,550000,2696.078431372549,68,3,3,13.217673557208654
