,,serie_original
,,prom_12_meses
2007,January,
2007,February,
2007,March,
2007,April,
2007,May,
2007,June,
2007,July,
2007,August,
2007,September,
2007,Octuber,
2007,November,
2007,December,
2008,January,
2008,February,
2008,March,
2008,April,
2008,May,
2008,June,
2008,July,
2008,August,
2008,September,
2008,Octuber,
2008,November,
2008,December,
2009,January,2.140683287624597
2009,February,1.25191239355334
2009,March,0.7164701664826225
2009,April,-0.5152345991835716
2009,May,-1.1026339674114922
2009,June,-1.6184272579838392
2009,July,-2.1590800064760884
2009,August,-1.7428733836514994
2009,September,-1.0414186574609516
2009,Octuber,-0.8383198020171676
2009,November,0.32609475287732437
2009,December,0.9461551697411039
2010,January,1.560836343527356
2010,February,2.72233315646821
2010,March,3.8573937178570645
2010,April,4.801034337990345
2010,May,5.887461900588306
2010,June,6.614015212869859
2010,July,7.258030768866462
2010,August,7.759285502597592
2010,September,8.034975775319026
2010,Octuber,8.391476109615354
2010,November,8.294805132966516
2010,December,8.33965105570617
2011,January,8.431371814917156
2011,February,7.9742110363114875
2011,March,7.201982928273367
2011,April,6.469533611668339
2011,May,6.3279326014752115
2011,June,5.867829561570389
2011,July,5.532092857105624
2011,August,5.024739434152963
2011,September,4.576145267246616
2011,Octuber,3.9606929333826315
2011,November,3.6221422799146694
2011,December,3.13342300479664
2012,January,3.1562696777312595
2012,February,2.929921259985065
2012,March,2.8323774013195617
2012,April,2.8554772337023167
2012,May,2.525180724947049
2012,June,2.5819423752037665
2012,July,2.7432277756816603
2012,August,2.7762333272627586
2012,September,2.548904170788518
2012,Octuber,2.787758348279951
2012,November,2.6333904613954644
2012,December,2.717367899673093
2013,January,2.5557052790734076
2013,February,2.481297187693741
2013,March,2.408656331859021
2013,April,2.954097964732199
2013,May,2.990434947014876
2013,June,2.9116228390383867
2013,July,2.9021648288976962
2013,August,3.15788841266469
2013,September,3.79089781444155
2013,Octuber,4.45373727736991
2013,November,4.68673039691096
2013,December,4.875205089375939
2014,January,5.353604360714613
2014,February,5.66635326132392
2014,March,6.307605070897452
2014,April,6.185509292391515
2014,May,6.445808912654428
2014,June,6.860265783186975
2014,July,7.031693058332152
2014,August,6.929536561552325
2014,September,6.95294755335911
2014,Octuber,6.54633550197137
2014,November,6.641828443732422
2014,December,7.050463690042051
2015,January,6.751871190449535
2015,February,6.758862642771319
2015,March,6.5087529254323755
2015,April,6.710875190786652
2015,May,6.750912693250825
2015,June,6.706290906160234
2015,July,7.012160510748842
2015,August,7.275502076775226
2015,September,7.1382714450969615
2015,Octuber,7.161718059363366
2015,November,7.380002133558278
2015,December,6.927018774499018
2016,January,6.758784787456179
2016,February,7.020185527690771
2016,March,7.2030435040690435
2016,April,7.383558408287527
2016,May,7.288254603033948
2016,June,7.430970973097033
2016,July,6.9905439186917135
2016,August,6.91341526810578
2016,September,6.934818107560801
2016,Octuber,6.803121374536602
2016,November,6.454038557062702
2016,December,6.659200261626523
2017,January,6.799923970730333
2017,February,6.511784202433162
2017,March,6.444658925651552
2017,April,5.668264183657996
2017,May,5.583420788312736
2017,June,5.128039509014087
2017,July,5.041125927307945
2017,August,4.92458228482684
2017,September,4.348204995779923
2017,Octuber,4.36209039857107
2017,November,4.602227095790639
2017,December,4.66670467622761
2018,January,4.828071028367816
2018,February,4.967205658034771
2018,March,4.92433169036795
2018,April,5.447263455561881
2018,May,5.594566540325559
2018,June,5.995065649838921
2018,July,6.346223153987566
2018,August,6.416415224330095
2018,September,7.065266809714771
2018,Octuber,7.196156148774776
2018,November,7.155515110505959
2018,December,6.982527584382552
2019,January,6.861316059564686
2019,February,6.781678393589502
2019,March,6.706912708761806
2019,April,6.352233300190235
2019,May,6.232084458267437
2019,June,5.796178757298392
2019,July,5.532715522290488
2019,August,5.3890300335804255
2019,September,5.162697289324569
2019,Octuber,5.052746471372529
2019,November,4.9474842115913304
2019,December,5.052168022711356
2020,January,4.953531345779069
2020,February,4.908170201151151
2020,March,3.6085936590191494
2020,April,0.7831502571010702
2020,May,-0.844451296081715
2020,June,-1.6341723589281685
2020,July,-2.744260224270164
2020,August,-3.753993942708945
2020,September,-4.595336559076884
2020,Octuber,-5.373265959961827
2020,November,-6.103309523691067
2020,December,-6.720239374633977
2021,January,-7.209976706714301
2021,February,-7.5028119207076145
2021,March,-5.951299229297163
2021,April,-0.7735895181927788
2021,May,2.026790285657796
2021,June,3.616279976378408
2021,July,5.360336204288956
2021,August,7.004229825685599
2021,September,8.36520161873267
2021,Octuber,9.629179126883727
2021,November,11.156367642475544
2021,December,12.271990236920487
2022,January,13.000234306243328
2022,February,13.413969444226566
