,,serie_tendencia_ciclo
,,prom_12_meses
2007,January,
2007,February,
2007,March,
2007,April,
2007,May,
2007,June,
2007,July,
2007,August,
2007,September,
2007,Octuber,
2007,November,
2007,December,
2008,January,
2008,February,
2008,March,
2008,April,
2008,May,
2008,June,
2008,July,
2008,August,
2008,September,
2008,Octuber,
2008,November,
2008,December,
2009,January,1.868161309913873
2009,February,1.0363937908626184
2009,March,0.21824277110349044
2009,April,-0.5240465306656716
2009,May,-1.1074835706681228
2009,June,-1.4593234311137167
2009,July,-1.535547715317648
2009,August,-1.3460812600086172
2009,September,-0.9263724097129824
2009,Octuber,-0.33046640003627203
2009,November,0.3849920839441978
2009,December,1.1988983273235192
2010,January,2.118303356860025
2010,February,3.132369933993175
2010,March,4.1944810017191685
2010,April,5.2235017825314145
2010,May,6.141275866089217
2010,June,6.905394868323867
2010,July,7.5046349029719295
2010,August,7.962062470855557
2010,September,8.303183194275519
2010,Octuber,8.532307668484052
2010,November,8.624082549848481
2010,December,8.549768814088822
2011,January,8.294725942456353
2011,February,7.890555454840722
2011,March,7.400212148685583
2011,April,6.88664880797289
2011,May,6.392784571201432
2011,June,5.933778137423573
2011,July,5.4982386666575
2011,August,5.060713343846473
2011,September,4.606392509019173
2011,Octuber,4.141594131796936
2011,November,3.7082213542678204
2011,December,3.3431958982900483
2012,January,3.0612902406043503
2012,February,2.8688323339498822
2012,March,2.764614472264043
2012,April,2.734045577664972
2012,May,2.7487137470900223
2012,June,2.7692634865675814
2012,July,2.76221353758379
2012,August,2.7235653111415985
2012,September,2.667854842359702
2012,Octuber,2.615677181374238
2012,November,2.5784958195933143
2012,December,2.5609711159194433
2013,January,2.5652344125449247
2013,February,2.5679890062831703
2013,March,2.5392890985599195
2013,April,2.4778304412041336
2013,May,2.4313215217245414
2013,June,2.4650872362048943
2013,July,2.626804156363562
2013,August,2.917248732661946
2013,September,3.2932483087050173
2013,Octuber,3.7058059238814565
2013,November,4.111075614330574
2013,December,4.479860413025946
2014,January,4.81342265270186
2014,February,5.143833390250464
2014,March,5.492866778953825
2014,April,5.850533308165581
2014,May,6.169756416022992
2014,June,6.398334862519775
2014,July,6.524756201477672
2014,August,6.577756119856687
2014,September,6.6131100537604794
2014,Octuber,6.668684669391993
2014,November,6.75585436300257
2014,December,6.873271236888385
2015,January,6.990311423670221
2015,February,7.071658103195702
2015,March,7.117473671511078
2015,April,7.155291305544708
2015,May,7.20853355544466
2015,June,7.301550257945834
2015,July,7.426195345311058
2015,August,7.532161739960969
2015,September,7.565451224278718
2015,Octuber,7.506943771152038
2015,November,7.377839558342103
2015,December,7.208976303153179
2016,January,7.053868286756455
2016,February,6.949774131861801
2016,March,6.89572752841336
2016,April,6.869852756161322
2016,May,6.850448785759795
2016,June,6.8008161193058925
2016,July,6.6966471457023005
2016,August,6.56244099530268
2016,September,6.430591536268167
2016,Octuber,6.3196795596179385
2016,November,6.236273092286709
2016,December,6.187137250838532
2017,January,6.1544844934808225
2017,February,6.105873631723895
2017,March,6.021505299980731
2017,April,5.884612937540879
2017,May,5.6950368053333875
2017,June,5.482378798435647
2017,July,5.288412082526037
2017,August,5.141289715279072
2017,September,5.0646214410080574
2017,Octuber,5.065013077441449
2017,November,5.1256557801211216
2017,December,5.215509185661631
2018,January,5.311991126648223
2018,February,5.423220676925979
2018,March,5.562253293877845
2018,April,5.7446499459522755
2018,May,5.978794921110264
2018,June,6.2514519427204505
2018,July,6.526124342249332
2018,August,6.758859267540274
2018,September,6.909506190562922
2018,Octuber,6.9682862955551315
2018,November,6.9463452691538805
2018,December,6.868668795150782
2019,January,6.7565238954121725
2019,February,6.610617529438883
2019,March,6.426575536089516
2019,April,6.207677790034012
2019,May,5.961552869580515
2019,June,5.703775560244523
2019,July,5.473823164302672
2019,August,5.308912484393957
2019,September,5.219918044406143
2019,Octuber,5.163045823801355
2019,November,5.058663066444424
2019,December,4.803028824136675
2020,January,4.304555588158408
2020,February,3.52691964817366
2020,March,2.4932245498903995
2020,April,1.2807414447299834
2020,May,-0.0020054410837531123
2020,June,-1.2524981721730768
2020,July,-2.4208031189842387
2020,August,-3.49943082748122
2020,September,-4.473075895459118
2020,Octuber,-5.288849215800056
2020,November,-5.8534247984276675
2020,December,-6.037398617390352
2021,January,-5.702018403523894
2021,February,-4.776694809002507
2021,March,-3.2887978635423565
2021,April,-1.37320929882857
2021,May,0.7561746083844127
2021,June,2.882703979238798
2021,July,4.865274190533924
2021,August,6.651687834387161
2021,September,8.22317404267055
2021,Octuber,9.568499891301755
2021,November,10.664998280509892
2021,December,11.443850522529118
2022,January,11.80243821424527
2022,February,11.701744737324532
