date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-08-02,/apartamentos-venta-avenida-espana/1282636/,2,3.5,3,US$,185000,Indisarq Global Group,Avenida España, Santo Domingo Este, Santo Domingo,En Construcción,155,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,185000
2022-08-02,/apartamentos-venta-ozama/1286161/,2,2,3,US$,159500,Mr. Home Asesores Inmobiliarios,Ozama, Santo Domingo Este, Santo Domingo,En Construcción,120,Residencial,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159500
2022-08-02,/apartamentos-venta-alma-rosa-i/1246356/,1,2.5,2,US$,121126,Premium Real Estate,Alma Rosa I, Santo Domingo Este, Santo Domingo,En Planos,72,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,121126
2022-08-02,/apartamentos-venta-autopista-san-isidro/1267439/,1,1,2,US$,105000,Marco Rivero,Autopista San Isidro, Santo Domingo Este, Santo Domingo,Segundo Uso,NA,Residencial,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,105000
2022-08-02,/apartamentos-venta-alma-rosa-i/1246328/,1,1,1,US$,74124,Premium Real Estate,Alma Rosa I, Santo Domingo Este, Santo Domingo,En Planos,39,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,74124
2022-08-02,/apartamentos-venta-ozama/1286159/,2,2,3,US$,136000,Mr. Home Asesores Inmobiliarios,Ozama, Santo Domingo Este, Santo Domingo,En Construcción,123,Residencial,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,136000
2022-08-02,/apartamentos-venta-ozama/1253478/,1,2,3,US$,136000,Premium Real Estate,Ozama, Santo Domingo Este, Santo Domingo,En Planos,123,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,136000
2022-08-02,/apartamentos-venta-los-trinitarios/1245413/,1,2,3,US$,75500,Premium Real Estate,Los Trinitarios, Santo Domingo Este, Santo Domingo,En Construcción,96,Residencial,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,75500
2022-08-02,/apartamentos-venta-alma-rosa-i/1280655/,2,2,3,US$,129738,Premium Real Estate,Alma Rosa I, Santo Domingo Este, Santo Domingo,En Construcción,90,Residencial,16,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,129738
2022-08-02,/apartamentos-venta-charles-de-gaulle/1272146/,1,2,3,US$,76900,Premium Real Estate,Charles de Gaulle, Santo Domingo Este, Santo Domingo,En Construcción,80,Residencial,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,76900
2022-08-02,/apartamentos-venta-autopista-las-americas/1272144/,1,1,3,US$,66900,Premium Real Estate,Autopista Las Americas, Santo Domingo Este, Santo Domingo,En Construcción,68,Residencial,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66900
2022-08-02,/apartamentos-venta-alma-rosa/1246339/,2,2.5,2,US$,78924,Premium Real Estate,Alma Rosa, Santo Domingo Este, Santo Domingo,En Construcción,72,Residencial,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,78924
2022-08-02,/apartamentos-venta-alma-rosa/1265825/,2,3.5,3,US$,279000,Premium Real Estate,Alma Rosa, Santo Domingo Este, Santo Domingo,En Construcción,220000,Residencial,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,279000
2022-08-02,/apartamentos-venta-prado-oriental/1279784/,2,3,3,US$,162000,Vidalpe Inmobiliaria,Prado Oriental, Santo Domingo Este, Santo Domingo,En Construcción,NA,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,162000
2022-08-02,/apartamentos-venta-prado-oriental/1279783/,2,2.5,3,US$,122000,Vidalpe Inmobiliaria,Prado Oriental, Santo Domingo Este, Santo Domingo,En Construcción,115,Residencial,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,122000
2022-08-02,/apartamentos-venta-prado-oriental/1285765/,2,2,2,US$,69550,Plusval Puente Azul,Prado Oriental, Santo Domingo Este, Santo Domingo,En Construcción,74,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69550
