date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-08-02,/apartamentos-venta-guavaberry/1236102/,1,2.5,2,US$,145000,Marrero Luxury,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,140,Residencial,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,145000
2022-08-02,/apartamentos-venta-guavaberry/1272358/,1,1.5,1,US$,165000,Inmobiliaria Grupal,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,155,Residencial,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,165000
2022-08-02,/apartamentos-venta-guavaberry/1285771/,1,1,1,US$,129000,Ciudad Inmobiliaria ,Guavaberry, Juan Dolio, San Pedro De Macoris,En Planos,36,Residencial,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,129000
2022-08-02,/apartamentos-venta-guavaberry/1284836/,NA,NA,3,US$,177000,Rivealva Group,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,140,N/D,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,177000
2022-08-02,/apartamentos-venta-guavaberry/1279503/,1,2,2,US$,180000,Mudate,Guavaberry, Juan Dolio, San Pedro De Macoris,Nueva,101,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,180000
2022-08-02,/apartamentos-venta-guavaberry/1283451/,2,3.5,3,US$,185000,Carmelia Suero,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,178,Residencial,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,185000
2022-08-02,/apartamentos-venta-guavaberry/1284020/,2,3.5,3,US$,250000,KW Gold,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,315,Residencial,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,250000
2022-08-02,/apartamentos-venta-guavaberry/1279803/,2,2.5,3,US$,180000,Remax Metropolitana ,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,223,Residencial,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,180000
2022-08-02,/apartamentos-venta-guavaberry/1282841/,1,2,2,US$,230000,Top inmobiliario Srl,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,NA,Residencial,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,230000
2022-08-02,/apartamentos-venta-guavaberry/1269487/,NA,2,2,US$,148000,KEYBROKERS INMOBILIARIA,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,145,Residencial,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,148000
2022-08-02,/apartamentos-venta-guavaberry/1281533/,2,3,3,US$,140000,Plusval Venta Directa,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,178,Residencial,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,140000
2022-08-02,/apartamentos-venta-y-alquiler-guavaberry/1259544/,NA,NA,2,US$,250000,Grupo Inmobiliario Elite,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,125,Residencial,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,250000
2022-08-02,/apartamentos-venta-y-alquiler-guavaberry/1255124/,NA,2.5,2,US$,150000,KEYBROKERS INMOBILIARIA,Guavaberry, Juan Dolio, San Pedro De Macoris,Segundo Uso,145,Residencial,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,150000
2022-08-02,/apartamentos-venta-y-alquiler-guavaberry/415076/,1,2,1,US$,193250,Proyecto Inmobiliario Sybaris Residences,Guavaberry, Juan Dolio, San Pedro De Macoris,Nueva,155,Residencial,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,193250
2022-08-02,/apartamentos-venta-y-alquiler-guavaberry/414709/,2,2,2,US$,243000,Proyecto Inmobiliario Sybaris Residences,Guavaberry, Juan Dolio, San Pedro De Macoris,Nueva,139,Residencial,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,243000
