date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-08-02,/apartamentos-venta-gala/1275719/,2,3,3,US$,132000,Virna Reyes,Gala, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,130,Residencial,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,132000
2022-08-02,/apartamentos-venta-gala/1265994/,1,NA,3,RD$,6200000,Inmobiliaria Grupal,Gala, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,114,Residencial,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,105982.90598290598
2022-08-02,/apartamentos-venta-gala/1274970/,2,2,3,US$,140000,Inmobiliaria Grupal,Gala, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,130,Residencial,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,140000
2022-08-02,/apartamentos-venta-gala/1278086/,1,1,NA,US$,77200,Seekers Inmobiliaria,Gala, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,48,Residencial,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,77200
2022-08-02,/apartamentos-venta-gala/1273514/,1,2.5,2,US$,148400,Mr. Home Asesores Inmobiliarios,Gala, Santo Domingo Centro (D.N.), Santo Domingo,NA,102,Residencial,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,148400
2022-08-02,/apartamentos-venta-gala/1283319/,1,1,1,US$,96484,Seekers Inmobiliaria,Gala, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,51,Residencial,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,96484
2022-08-02,/apartamentos-venta-gala/1282920/,2,2,3,US$,135000,AC INMOBILIARIA,Gala, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,130,Residencial,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,135000
