date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-08-02,/apartamentos-venta-pueblo-bavaro/1254197/,1,2,2,US$,72850,Olima Real Estate,Pueblo Bávaro, Bávaro, Punta Cana,Segundo Uso,106,Residencial,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,72850
2022-08-02,/apartamentos-venta-pueblo-bavaro/1286001/,2,NA,3,US$,85000,Crisya Inmobiliaria ,Pueblo Bávaro, Bávaro, Punta Cana,Segundo Uso,115,Residencial,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,85000
2022-08-02,/apartamentos-venta-y-alquiler-pueblo-bavaro/1278978/,1,2,3,US$,125000,Ciudad Inmobiliaria ,Pueblo Bávaro, Bávaro, Punta Cana,Segundo Uso,122,Residencial,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,125000
2022-08-02,/apartamentos-venta-pueblo-bavaro/1281193/,2,2,3,US$,111900,Ciudad Inmobiliaria ,Pueblo Bávaro, Bávaro, Punta Cana,En Construcción,86,Residencial,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,111900
2022-08-02,/apartamentos-venta-pueblo-bavaro/1281189/,1,2,2,US$,92300,Ciudad Inmobiliaria ,Pueblo Bávaro, Bávaro, Punta Cana,En Construcción,72,Residencial,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,92300
2022-08-02,/apartamentos-venta-pueblo-bavaro/1281184/,1,1.5,1,US$,66900,Ciudad Inmobiliaria ,Pueblo Bávaro, Bávaro, Punta Cana,En Construcción,44,Residencial,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,66900
2022-08-02,/apartamentos-venta-pueblo-bavaro/1283462/,1,1,1,US$,89000,Republic Real State,Pueblo Bávaro, Bávaro, Punta Cana,En Planos,69,Residencial,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,89000
2022-08-02,/apartamentos-venta-pueblo-bavaro/1283639/,2,2,3,US$,119900,Seekers Inmobiliaria,Pueblo Bávaro, Bávaro, Punta Cana,En Construcción,86,Residencial,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,119900
2022-08-02,/apartamentos-venta-pueblo-bavaro/1265499/,NA,NA,1,US$,45279,Seekers Inmobiliaria,Pueblo Bávaro, Bávaro, Punta Cana,En Construcción,49,Residencial,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45279
2022-08-02,/apartamentos-venta-pueblo-bavaro/1283821/,1,1,1,US$,63900,Seekers Inmobiliaria,Pueblo Bávaro, Bávaro, Punta Cana,En Construcción,43,Residencial,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63900
2022-08-02,/apartamentos-venta-pueblo-bavaro/1209723/,1,2.5,2,US$,170000,Paez Luxury Real Estate ,Pueblo Bávaro, Bávaro, Punta Cana,Segundo Uso,140,Residencial,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,170000
2022-08-02,/apartamentos-venta-pueblo-bavaro/1284066/,2,2,2,US$,56500,Plusval Venta Directa,Pueblo Bávaro, Bávaro, Punta Cana,Segundo Uso,94,Residencial,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56500
