date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-08-02,/apartamentos-venta-miramar/1284041/,1,1,2,US$,100000,Algonovo Real Estate,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,100,Residencial,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,100000
2022-08-02,/apartamentos-venta-miramar/1279678/,1,2.5,2,RD$,7875000,Mis Casas RD,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,150,Residencial,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,134615.38461538462
2022-08-02,/apartamentos-venta-miramar/1284451/,1,1,2,US$,5580000,Algonovo Real Estate,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,100,Residencial,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5580000
2022-08-02,/apartamentos-venta-miramar/1278306/,1,2,3,RD$,7400000,Mr. Home Asesores Inmobiliarios,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,NA,100,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,126495.7264957265
2022-08-02,/apartamentos-venta-miramar/1278304/,1,2,2,RD$,5800000,Mr. Home Asesores Inmobiliarios,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,NA,80,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,99145.29914529914
2022-08-02,/apartamentos-venta-miramar/1273466/,NA,NA,2,RD$,6200000,Carmelia Suero,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,NA,Residencial,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,105982.90598290598
2022-08-02,/apartamentos-venta-miramar/1273733/,1,2,3,US$,100000,The Crestman Group ,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,100,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,100000
2022-08-02,/apartamentos-venta-miramar/1233596/,2,3.5,3,US$,178000,Plusval Venta Directa,Miramar, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,189,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,178000
