id,parking,bathrooms,bedrooms,seller,location,status,area,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price,price_per_m2,area_per_br
/apartamentos-venta-piantini/1284868/,4,3.5,3,SAS INMOBILIARIA,Piantini,New,265,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,690000,2603.7735849056603,88.33333333333333
/apartamentos-venta-piantini/1282401/,4,3.5,3,Mario Alberto Aquino,Piantini,Used,310,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,370000,1193.5483870967741,103.33333333333333
/apartamentos-venta-piantini/1253884/,4,3.5,3,Inmobiliaria Hazim Rodriguez,Piantini,Used,383,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,515000,1344.6475195822454,127.66666666666667
/apartamentos-venta-piantini/1285580/,1,NA,2,Urban Group RD,Piantini,Used,117,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,240000,2051.2820512820513,58.5
/apartamentos-venta-piantini/1260660/,3,3.5,3,Paez Luxury Real Estate,Piantini,Used,188,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,270000,1436.1702127659576,62.666666666666664
/apartamentos-venta-piantini/1259730/,3,3.5,3,Paez Luxury Real Estate,Piantini,Used,215,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,280000,1302.3255813953488,71.66666666666667
/apartamentos-venta-piantini/1280863/,3,3.5,3,Paez Luxury Real Estate,Piantini,New,229,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,475000,2074.235807860262,76.33333333333333
/apartamentos-venta-piantini/1274866/,1,1.5,1,Paez Luxury Real Estate,Piantini,New,90,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,243000,2700,90
/apartamentos-venta-piantini/1261810/,2,3.5,3,Paez Luxury Real Estate,Piantini,Used,385,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,650000,1688.3116883116884,128.33333333333334
/apartamentos-venta-piantini/1190453/,4,4.5,4,Paez Luxury Real Estate,Piantini,New,507,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1700000,3353.0571992110454,126.75
/apartamentos-venta-piantini/1281029/,1,2.5,1,Paez Luxury Real Estate,Piantini,Used,109,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,240000,2201.8348623853212,109
/apartamentos-venta-piantini/1274548/,2,2.5,2,Paez Luxury Real Estate,Piantini,New,130,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,375000,2884.6153846153848,65
/apartamentos-venta-piantini/1271932/,NA,4.5,4,Paez Luxury Real Estate,Piantini,Used,353,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,495000,1402.2662889518413,88.25
/apartamentos-venta-piantini/1273120/,2,2.5,2,Paez Luxury Real Estate,Piantini,Used,127,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,285000,2244.0944881889764,63.5
/apartamentos-venta-piantini/1272768/,3,3.5,3,Paez Luxury Real Estate,Piantini,Used,415,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1025000,2469.879518072289,138.33333333333334
/apartamentos-venta-piantini/1228215/,NA,3.5,3,Paez Luxury Real Estate,Piantini,Used,395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,990000,2506.3291139240505,131.66666666666666
/apartamentos-venta-piantini/1215357/,2,3.5,3,Paez Luxury Real Estate,Piantini,Used,400,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,450000,1125,133.33333333333334
/apartamentos-venta-piantini/1274282/,4,3.5,3,Paez Luxury Real Estate,Piantini,New,375,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,790000,2106.6666666666665,125
/apartamentos-venta-piantini/1262156/,3,3.5,3,Paez Luxury Real Estate,Piantini,Used,188,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,270000,1436.1702127659576,62.666666666666664
/apartamentos-venta-piantini/1260889/,1,1.5,1,Paez Luxury Real Estate,Piantini,New,80,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,217000,2712.5,80
